year,city,country,local_avg_temp,year,global_avg_temp
1758,Kansas City,United States,13.72,1758,6.74
1759,Kansas City,United States,11.33,1759,7.99
1760,Kansas City,United States,-5.40,1760,7.19
1768,Kansas City,United States,10.57,1768,6.78
1769,Kansas City,United States,10.92,1769,7.69
1770,Kansas City,United States,11.42,1770,7.69
1771,Kansas City,United States,12.04,1771,7.85
1773,Kansas City,United States,13.10,1773,8.22
1774,Kansas City,United States,4.69,1774,8.77
1775,Kansas City,United States,12.72,1775,9.18
1776,Kansas City,United States,11.26,1776,8.30
1777,Kansas City,United States,11.49,1777,8.26
1778,Kansas City,United States,8.28,1778,8.54
1779,Kansas City,United States,1.11,1779,8.98
1781,Kansas City,United States,11.83,1781,8.10
1782,Kansas City,United States,11.41,1782,7.90
1783,Kansas City,United States,11.21,1783,7.68
1784,Kansas City,United States,11.32,1784,7.86
1785,Kansas City,United States,11.00,1785,7.36
1786,Kansas City,United States,11.57,1786,8.26
1787,Kansas City,United States,11.62,1787,8.03
1788,Kansas City,United States,11.99,1788,8.45
1789,Kansas City,United States,11.78,1789,8.33
1790,Kansas City,United States,11.65,1790,7.98
1791,Kansas City,United States,11.94,1791,8.23
1792,Kansas City,United States,11.49,1792,8.09
1793,Kansas City,United States,11.82,1793,8.23
1794,Kansas City,United States,11.99,1794,8.53
1795,Kansas City,United States,4.18,1795,8.35
1796,Kansas City,United States,11.75,1796,8.27
1797,Kansas City,United States,11.57,1797,8.51
1798,Kansas City,United States,12.21,1798,8.67
1799,Kansas City,United States,11.98,1799,8.51
1800,Kansas City,United States,11.85,1800,8.48
1801,Kansas City,United States,12.17,1801,8.59
1802,Kansas City,United States,12.32,1802,8.58
1803,Kansas City,United States,12.14,1803,8.50
1804,Kansas City,United States,12.21,1804,8.84
1805,Kansas City,United States,12.20,1805,8.56
1806,Kansas City,United States,11.90,1806,8.43
1807,Kansas City,United States,11.68,1807,8.28
1808,Kansas City,United States,11.45,1808,7.63
1809,Kansas City,United States,10.61,1809,7.08
1810,Kansas City,United States,10.65,1810,6.92
1811,Kansas City,United States,10.83,1811,6.86
1812,Kansas City,United States,10.19,1812,7.05
1813,Kansas City,United States,11.39,1813,7.74
1814,Kansas City,United States,11.24,1814,7.59
1815,Kansas City,United States,10.66,1815,7.24
1816,Kansas City,United States,10.09,1816,6.94
1817,Kansas City,United States,10.39,1817,6.98
1818,Kansas City,United States,11.33,1818,7.83
1819,Kansas City,United States,10.80,1819,7.37
1820,Kansas City,United States,10.58,1820,7.62
1821,Kansas City,United States,10.93,1821,8.09
1822,Kansas City,United States,11.61,1822,8.19
1823,Kansas City,United States,11.20,1823,7.72
1824,Kansas City,United States,11.39,1824,8.55
1825,Kansas City,United States,12.52,1825,8.39
